apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,id,source_url,source_section,scan_date
1,1,קרקע,228,1-A,6,157.35,203.06,לא,10.42,2,צפון / מזרח/דרום,,,,B1-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
2,1,1,228,1-B,5,128.98,24.22,כן,5.46,2,צפון / מזרח/דרום,"1,892,622 ₪",,,B1-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
3,1,1,228,1-C,5,129.31,24.59,כן,5.82,2,צפון / מערב/דרום,"1,900,900 ₪",,,B1-A3,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
4,1,2,228,1-B,5,128.98,24.22,כן,5.49,2,צפון / מזרח/דרום,"1,892,807 ₪",,,B1-A4,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
5,1,2,228,1-C,5,129.31,24.59,כן,6.24,2,צפון / מערב/דרום,"1,903,497 ₪",,,B1-A5,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
6,1,3,228,1-B,5,128.98,24.22,כן,5.88,2,צפון / מזרח/דרום,"1,895,219 ₪",,,B1-A6,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
7,1,3,228,1-C,5,129.31,24.59,כן,6.94,2,צפון / מערב/דרום,"1,907,826 ₪",,,B1-A7,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
8,1,4,228,1-B,5,128.98,24.22,כן,6.57,2,צפון / מזרח/דרום,"1,899,486 ₪",,,B1-A8,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
9,1,4,228,1-C,5,129.31,24.59,כן,7.91,2,צפון / מערב/דרום,"1,913,824 ₪",,,B1-A9,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
10,1,5,228,1-B-1,5,128.98,24.22,כן,8.27,2,צפון / מזרח/דרום,"1,909,998 ₪",,,B1-A10,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
11,1,5,228,1-C-1,5,129.31,24.59,כן,9.02,2,צפון / מערב/דרום,"1,920,688 ₪",,,B1-A11,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
12,1,6,228,1-D,6,167.78,121.36,לא,8.56,2,צפון / מזרח/דרום/מערב,,,,B1-A12,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29
1,2,קרקע,228,2-A,5,143.19,161.93,לא,10.44,2,צפון/מזרח/דרום,,,,B2-A1,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29
2,2,קרקע,228,2-B,5,141.20,100.27,לא,9.37,2,מערב/דרום/מזרח,,,,B2-A2,https://shoval-haifa.webzsites.site/#priceListD,מבנה 2,2026-07-29
