apartment_number,building,floor,plot_number,apartment_type,rooms,area_sqm,balcony_garden_sqm,target_price,storage_sqm,parking_spaces,directions,final_price,apartment_plan_url,floor_plan_url,source_url,source_section,scan_date,id
1,1,קרקע,228,1-A,6,157.35,203.06,לא,10.42,2,צפון / מזרח/דרום,,,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/0.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A1
2,1,1,228,1-B,5,128.98,24.22,כן,5.46,2,צפון / מזרח/דרום,"1,892,622 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/2.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A2
3,1,1,228,1-C,5,129.31,24.59,כן,5.82,2,צפון / מערב/דרום,"1,900,900 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/3.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/1.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A3
4,1,2,228,1-B,5,128.98,24.22,כן,5.49,2,צפון / מזרח/דרום,"1,892,807 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/4.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A4
5,1,2,228,1-C,5,129.31,24.59,כן,6.24,2,צפון / מערב/דרום,"1,903,497 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/5.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/2.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A5
6,1,3,228,1-B,5,128.98,24.22,כן,5.88,2,צפון / מזרח/דרום,"1,895,219 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/6.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A6
7,1,3,228,1-C,5,129.31,24.59,כן,6.94,2,צפון / מערב/דרום,"1,907,826 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/7.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/3.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A7
8,1,4,228,1-B,5,128.98,24.22,כן,6.57,2,צפון / מזרח/דרום,"1,899,486 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/8.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A8
9,1,4,228,1-C,5,129.31,24.59,כן,7.91,2,צפון / מערב/דרום,"1,913,824 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/9.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/4.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A9
10,1,5,228,1-B-1,5,128.98,24.22,כן,8.27,2,צפון / מזרח/דרום,"1,909,998 ₪",https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%93%D7%99%D7%A8%D7%95%D7%AA/%D7%9E%D7%A9%D7%AA%D7%9B%D7%9F%201/10.pdf,https://shoval-haifa.webzsites.site/wp-content/themes/shoval-haifa/data/1/%D7%A7%D7%95%D7%9E%D7%95%D7%AA/5.pdf,https://shoval-haifa.webzsites.site/#priceListD,מבנה 1,2026-07-29,B1-A10
