דירה,בניין,קומה,חדרים,שטח,מחיר,"מחיר למ""ר",Quality Score,Price Score,Value Score,דירוג,הערות
20,7,5,5,125.03,1781487,14248.48,64.6,100,81.0,1,במחיר שוק; סטייה -2.3%
15,7,4,5,125.03,1770993,14164.54,63.9,100,80.8,2,במחיר שוק; סטייה -2.9%
10,7,3,5,125.03,1760437,14080.12,63.3,100,79.5,3,במחיר שוק; סטייה -3.5%; קיימת חלופה טובה יותר באותו מחיר
12,14,3,4,113.65,1563294,13755.34,62.5,92.9,79.1,4,במחיר שוק; סטייה -5.7%
7,14,2,4,113.65,1553640,13670.39,61.9,97.8,79.0,5,במחיר שוק; סטייה -6.3%
2,14,1,4,113.71,1544738,13584.89,62.7,100,78.1,6,במחיר שוק; סטייה -6.9%
25,7,6,5,125.03,1792161,14333.85,65.2,94.1,77.9,7,במחיר שוק; סטייה -1.7%; קיימת חלופה טובה יותר באותו מחיר
5,7,2,5,125.03,1749880,13995.68,62.7,100,77.7,8,במחיר שוק; סטייה -4.0%; קיימת חלופה טובה יותר באותו מחיר
17,14,4,4,113.65,1572949,13840.29,63.2,88.0,77.6,9,במחיר שוק; סטייה -5.1%
2,7,1,5,147.73,2019105,13667.54,63.5,100,76.2,10,במחיר שוק; סטייה -6.3%; קיימת חלופה טובה יותר באותו מחיר
3,14,1,3,82.83,1136566,13721.67,56.4,91.9,76.2,11,במחיר שוק; סטייה -5.9%; קיימת חלופה טובה יותר באותו מחיר
22,14,5,4,113.65,1582603,13925.24,63.8,83.0,76.0,12,במחיר שוק; סטייה -4.5%
30,7,7,5,125.03,1802105,14413.38,65.8,86.5,75.5,13,במחיר שוק; סטייה -1.2%; קיימת חלופה טובה יותר באותו מחיר
8,14,2,3,82.83,1142517,13793.52,57.1,87.9,75.0,14,במחיר שוק; סטייה -5.4%; קיימת חלופה טובה יותר באותו מחיר
27,14,6,4,113.65,1592257,14010.18,64.5,78.1,74.5,15,במחיר שוק; סטייה -3.9%
4,7,2,5.5,141.28,1986791,14062.79,72.0,84.2,74.3,16,במחיר שוק; סטייה -3.6%
4,14,1,3,83.9,1168160,13923.24,61.9,80.6,74.1,17,במחיר שוק; סטייה -4.5%; קיימת חלופה טובה יותר באותו מחיר
1,7,1,5.5,140.2,1960413,13982.97,72.4,89.5,73.9,18,במחיר שוק; סטייה -4.1%; קיימת חלופה טובה יותר באותו מחיר
13,14,3,3,82.83,1148468,13865.36,57.7,83.9,73.7,19,במחיר שוק; סטייה -4.9%; קיימת חלופה טובה יותר באותו מחיר
7,7,2,3,83.9,1169575,13940.11,61.6,79.7,73.6,20,במחיר שוק; סטייה -4.4%; קיימת חלופה טובה יותר באותו מחיר
3,7,2,5.5,144.26,2032753,14090.9,70.7,82.3,73.1,21,במחיר שוק; סטייה -3.4%
8,7,3,5.5,144.26,2044426,14171.81,71.3,77.0,73.0,22,במחיר שוק; סטייה -2.8%
9,14,2,3,83.9,1174039,13993.31,62.5,76.7,72.9,23,במחיר שוק; סטייה -4.0%; קיימת חלופה טובה יותר באותו מחיר
32,14,7,4,113.65,1601912,14095.13,65.1,73.2,72.9,24,במחיר שוק; סטייה -3.4%
9,7,3,5.5,141.28,2008607,14217.21,73.4,74.0,72.7,25,במחיר שוק; סטייה -2.5%
18,14,4,3,82.83,1154418,13937.2,58.3,79.8,72.5,26,במחיר שוק; סטייה -4.4%; קיימת חלופה טובה יותר באותו מחיר
1,14,1,5.5,140.38,1985525,14143.93,74.0,78.8,71.8,27,במחיר שוק; סטייה -3.0%
35,7,8,5,125.03,1817795,14538.87,67.3,74.4,71.7,28,במחיר שוק; סטייה -0.3%; קיימת חלופה טובה יותר באותו מחיר
6,14,2,5.5,139.78,1988157,14223.47,73.4,73.5,71.7,29,במחיר שוק; סטייה -2.5%
11,14,3,5.5,139.78,1999418,14304.03,74.0,68.2,71.7,30,במחיר שוק; סטייה -1.9%
14,14,3,3,83.9,1180154,14066.2,63.1,72.6,71.6,31,במחיר שוק; סטייה -3.5%; קיימת חלופה טובה יותר באותו מחיר
6,7,2,3,82.83,1159851,14002.79,58.7,76.1,71.3,32,במחיר שוק; סטייה -4.0%; קיימת חלופה טובה יותר באותו מחיר
12,7,3,3,83.9,1181443,14081.56,63.1,71.7,71.3,33,במחיר שוק; סטייה -3.5%; קיימת חלופה טובה יותר באותו מחיר
23,14,5,3,82.83,1160369,14009.04,58.9,75.8,71.3,34,במחיר שוק; סטייה -4.0%; קיימת חלופה טובה יותר באותו מחיר
10,13,3,5,125.85,1845479,14664.12,78.3,62.4,71.2,35,במחיר שוק; סטייה +0.5%
13,13,4,5,125.85,1847272,14678.36,79.2,61.1,71.0,36,במחיר שוק; סטייה +0.6%
14,7,4,5.5,141.28,2020449,14301.03,74.0,68.4,70.9,37,במחיר שוק; סטייה -1.9%
17,2,5,3,80.0,1142866,14285.83,74.7,60.2,70.7,38,במחיר שוק; סטייה -2.0%
14,6,4,3,82.34,1190876,14462.91,79.6,50.3,70.7,39,במחיר שוק; סטייה -0.8%
17,6,5,3,82.34,1192707,14485.15,80.5,49.0,70.6,40,במחיר שוק; סטייה -0.7%
11,7,3,3,82.83,1162264,14031.92,58.4,74.5,70.6,41,במחיר שוק; סטייה -3.8%; קיימת חלופה טובה יותר באותו מחיר
11,2,3,3,80.0,1143213,14290.16,71.0,60.0,70.5,42,במחיר שוק; סטייה -2.0%
17,13,5,3,80.0,1136188,14202.35,69.4,64.9,70.5,43,במחיר שוק; סטייה -2.6%
11,6,3,3,82.34,1190827,14462.31,78.7,50.3,70.4,44,במחיר שוק; סטייה -0.8%
17,10,5,3,82.34,1176233,14285.07,72.0,60.3,70.4,45,במחיר שוק; סטייה -2.0%; קיימת חלופה טובה יותר באותו מחיר
19,14,4,3,83.9,1186077,14136.79,63.8,68.6,70.4,46,במחיר שוק; סטייה -3.1%; קיימת חלופה טובה יותר באותו מחיר
14,10,4,3,82.34,1175194,14272.46,71.1,61.0,70.3,47,במחיר שוק; סטייה -2.1%; קיימת חלופה טובה יותר באותו מחיר
17,11,5,3,82.34,1190382,14456.91,78.1,50.6,70.3,48,במחיר שוק; סטייה -0.9%
16,13,5,5,125.85,1850117,14700.97,82.8,58.9,70.3,49,במחיר שוק; סטייה +0.8%
11,10,3,3,82.34,1174304,14261.65,70.2,61.6,70.2,50,במחיר שוק; סטייה -2.2%; קיימת חלופה טובה יותר באותו מחיר
37,14,8,4,113.65,1611566,14180.08,65.7,68.3,70.2,51,במחיר שוק; סטייה -2.8%; קיימת חלופה טובה יותר באותו מחיר
14,5,4,3,82.34,1189640,14447.9,77.1,51.1,70.1,52,במחיר שוק; סטייה -0.9%
17,5,5,3,82.34,1190876,14462.91,78.0,50.3,70.1,53,במחיר שוק; סטייה -0.8%
13,7,4,5.5,144.26,2056333,14254.35,72.0,71.5,70.1,54,במחיר שוק; סטייה -2.3%; קיימת חלופה טובה יותר באותו מחיר
17,7,4,3,83.9,1187228,14150.51,63.8,67.8,70.1,55,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
14,11,4,3,82.34,1188601,14435.28,76.3,51.8,70.1,56,במחיר שוק; סטייה -1.0%
9,13,3,5,125.84,1846229,14671.24,75.9,61.8,70.1,57,במחיר שוק; סטייה +0.6%
12,13,4,5,125.84,1847527,14681.56,76.8,60.8,70.1,58,במחיר שוק; סטייה +0.7%
28,14,6,3,82.83,1166319,14080.88,59.6,71.8,70.1,59,במחיר שוק; סטייה -3.5%; קיימת חלופה טובה יותר באותו מחיר
11,11,3,3,82.34,1187463,14421.46,75.4,52.6,70.0,60,במחיר שוק; סטייה -1.1%
11,5,3,3,82.34,1189145,14441.89,76.2,51.5,69.9,61,במחיר שוק; סטייה -1.0%
15,13,5,5,125.84,1848393,14688.44,80.4,60.1,69.9,62,במחיר שוק; סטייה +0.7%
5,14,2,5.5,142.42,2021652,14195.0,69.6,75.4,69.8,63,במחיר שוק; סטייה -2.7%; קיימת חלופה טובה יותר באותו מחיר
16,14,4,5.5,139.78,2011332,14389.27,74.6,62.5,69.8,64,במחיר שוק; סטייה -1.3%
14,13,4,3,80.0,1135446,14193.08,66.6,65.5,69.7,65,במחיר שוק; סטייה -2.7%; קיימת חלופה טובה יותר באותו מחיר
10,14,3,5.5,142.42,2033386,14277.39,70.2,70.0,69.7,66,במחיר שוק; סטייה -2.1%; קיימת חלופה טובה יותר באותו מחיר
14,4,4,3,82.34,1192558,14483.34,77.8,49.1,69.6,67,במחיר שוק; סטייה -0.7%
11,13,3,3,80.0,1134704,14183.8,65.7,66.0,69.6,68,במחיר שוק; סטייה -2.8%; קיימת חלופה טובה יותר באותו מחיר
5,6,1,3,82.34,1184890,14390.21,76.1,54.4,69.5,69,במחיר שוק; סטייה -1.3%
11,8,3,3,80.0,1132230,14152.88,63.5,67.7,69.4,70,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
